period_start,period_end,period_start_utc,period_end_utc,sn,n_datapoints,sample_rh,sample_temp,sample_pres,pm1,pm25,pm10
2024-02-17T00:00:00+02:00,2024-02-18T00:00:00+02:00,2024-02-16T22:00:00+00:00,2024-02-17T22:00:00+00:00,MOD-PM-00523,1440,40.294,28.529,0.0,18.285,19.057,28.849
2024-02-18T00:00:00+02:00,2024-02-19T00:00:00+02:00,2024-02-17T22:00:00+00:00,2024-02-18T22:00:00+00:00,MOD-PM-00523,1430,57.886,25.655,0.0,16.534,16.991,22.78
2024-02-19T00:00:00+02:00,2024-02-20T00:00:00+02:00,2024-02-18T22:00:00+00:00,2024-02-19T22:00:00+00:00,MOD-PM-00523,1434,63.27,24.729,0.0,17.538,17.969,22.427
2024-02-20T00:00:00+02:00,2024-02-21T00:00:00+02:00,2024-02-19T22:00:00+00:00,2024-02-20T22:00:00+00:00,MOD-PM-00523,1438,71.989,23.492,0.0,20.535,21.066,27.627
2024-02-21T00:00:00+02:00,2024-02-22T00:00:00+02:00,2024-02-20T22:00:00+00:00,2024-02-21T22:00:00+00:00,MOD-PM-00523,1433,56.949,26.966,0.0,29.572,30.408,40.421
2024-02-22T00:00:00+02:00,2024-02-23T00:00:00+02:00,2024-02-21T22:00:00+00:00,2024-02-22T22:00:00+00:00,MOD-PM-00523,1416,53.767,25.852,0.0,17.157,17.942,27.925
2024-02-23T00:00:00+02:00,2024-02-24T00:00:00+02:00,2024-02-22T22:00:00+00:00,2024-02-23T22:00:00+00:00,MOD-PM-00523,1414,54.319,27.127,0.0,26.106,26.902,35.108
2024-02-24T00:00:00+02:00,2024-02-25T00:00:00+02:00,2024-02-23T22:00:00+00:00,2024-02-24T22:00:00+00:00,MOD-PM-00523,1419,54.056,25.73,0.0,35.297,36.032,43.831
2024-02-25T00:00:00+02:00,2024-02-26T00:00:00+02:00,2024-02-24T22:00:00+00:00,2024-02-25T22:00:00+00:00,MOD-PM-00523,1424,51.292,26.682,0.0,50.25,51.2,62.058
2024-02-26T00:00:00+02:00,2024-02-27T00:00:00+02:00,2024-02-25T22:00:00+00:00,2024-02-26T22:00:00+00:00,MOD-PM-00523,1419,58.817,25.358,0.0,39.63,40.552,52.405
2024-02-27T00:00:00+02:00,2024-02-28T00:00:00+02:00,2024-02-26T22:00:00+00:00,2024-02-27T22:00:00+00:00,MOD-PM-00523,1424,71.114,21.249,0.0,9.515,9.823,13.854
2024-02-28T00:00:00+02:00,2024-02-29T00:00:00+02:00,2024-02-27T22:00:00+00:00,2024-02-28T22:00:00+00:00,MOD-PM-00523,1432,63.408,21.831,0.0,21.968,22.411,29.2
2024-02-29T00:00:00+02:00,2024-03-01T00:00:00+02:00,2024-02-28T22:00:00+00:00,2024-02-29T22:00:00+00:00,MOD-PM-00523,1430,57.804,21.656,0.0,33.1,33.927,43.93
2024-03-01T00:00:00+02:00,2024-03-02T00:00:00+02:00,2024-02-29T22:00:00+00:00,2024-03-01T22:00:00+00:00,MOD-PM-00523,1423,54.67,23.584,0.0,33.781,34.711,45.584
2024-03-02T00:00:00+02:00,2024-03-03T00:00:00+02:00,2024-03-01T22:00:00+00:00,2024-03-02T22:00:00+00:00,MOD-PM-00523,1432,53.851,23.216,0.0,27.015,27.735,36.395
2024-03-03T00:00:00+02:00,2024-03-04T00:00:00+02:00,2024-03-02T22:00:00+00:00,2024-03-03T22:00:00+00:00,MOD-PM-00523,1438,47.564,25.608,0.0,29.174,29.799,36.667
2024-03-04T00:00:00+02:00,2024-03-05T00:00:00+02:00,2024-03-03T22:00:00+00:00,2024-03-04T22:00:00+00:00,MOD-PM-00523,1440,51.046,25.639,0.0,22.573,23.348,30.802
2024-03-05T00:00:00+02:00,2024-03-06T00:00:00+02:00,2024-03-04T22:00:00+00:00,2024-03-05T22:00:00+00:00,MOD-PM-00523,1434,45.569,27.282,0.0,23.448,24.247,34.594
2024-03-06T00:00:00+02:00,2024-03-07T00:00:00+02:00,2024-03-05T22:00:00+00:00,2024-03-06T22:00:00+00:00,MOD-PM-00523,1428,41.025,28.765,0.0,23.761,24.606,35.171
2024-03-07T00:00:00+02:00,2024-03-08T00:00:00+02:00,2024-03-06T22:00:00+00:00,2024-03-07T22:00:00+00:00,MOD-PM-00523,1425,57.805,25.653,0.0,16.921,17.799,27.211
2024-03-08T00:00:00+02:00,2024-03-09T00:00:00+02:00,2024-03-07T22:00:00+00:00,2024-03-08T22:00:00+00:00,MOD-PM-00523,1419,50.334,26.773,0.0,20.313,21.07,32.008
2024-03-09T00:00:00+02:00,2024-03-10T00:00:00+02:00,2024-03-08T22:00:00+00:00,2024-03-09T22:00:00+00:00,MOD-PM-00523,1426,48.273,27.962,0.0,25.915,26.669,36.052
2024-03-10T00:00:00+02:00,2024-03-11T00:00:00+02:00,2024-03-09T22:00:00+00:00,2024-03-10T22:00:00+00:00,MOD-PM-00523,1433,63.943,24.889,0.0,22.162,22.92,29.095
2024-03-11T00:00:00+02:00,2024-03-12T00:00:00+02:00,2024-03-10T22:00:00+00:00,2024-03-11T22:00:00+00:00,MOD-PM-00523,1431,45.653,26.916,0.0,26.667,27.488,36.822
2024-03-12T00:00:00+02:00,2024-03-13T00:00:00+02:00,2024-03-11T22:00:00+00:00,2024-03-12T22:00:00+00:00,MOD-PM-00523,1433,46.917,25.811,0.0,18.966,19.853,29.964
2024-03-13T00:00:00+02:00,2024-03-14T00:00:00+02:00,2024-03-12T22:00:00+00:00,2024-03-13T22:00:00+00:00,MOD-PM-00523,1412,38.121,27.737,0.0,22.993,24.112,40.828
